id,n_epochs,logerr_slope,logerr_intercept,logerr_r2,err_first,err_last,logerr_first,logerr_last,auc_logerr,plateau_logerr,t50,base_err,base_epoch,fit_difficulty,split
mb-log-kvrh-08638,100.0,-5.2639071392385874e-05,0.5246560490326106,0.00044481569033627544,3.2080667,1.635841727256775,1.1656684846758378,0.49215749588306185,0.5160699164640093,0.5309399244681712,1.0,3.2080667,0.0,-0.047898264515027364,test
mb-log-kvrh-05155,100.0,0.00011668589568300983,0.3868251931635412,0.0015687339939796097,3.094494,1.50002121925354,1.1296244065030483,0.4054792608437073,0.38521312044777933,0.4227701867797028,1.0,3.094494,0.0,-0.25470218605468903,test
mb-log-kvrh-01454,100.0,-0.00040595848415500774,0.46097654374063307,0.02603862410205371,3.1389139,1.5449209213256836,1.1438768515518933,0.4349727319046346,0.43403989625957257,0.4313014131697021,1.0,3.1389139,0.0,-0.2182377117890127,test
mb-log-kvrh-05779,100.0,-0.00047886727748260076,0.36460426233908894,0.030627881184642547,3.000568,1.3909077644348145,1.0988016074128517,0.32995660911479735,0.33375254898290896,0.33080095799627673,1.0,3.000568,0.0,-0.3992351464489774,test
mb-log-kvrh-06932,100.0,-0.0003539421372060532,0.563868942714828,0.018602089358229934,3.5231981,1.6744840145111084,1.2593691311019382,0.5155050727534068,0.5392234979730637,0.5456284511600712,1.0,3.5231981,0.0,-0.01699790371200327,test
mb-log-kvrh-04195,100.0,-0.0027965318315750073,0.8616636991648023,0.5221554505788684,4.2586746,1.7015717029571533,1.448957987458892,0.531552360974666,0.7158732848222338,0.6442373790020387,8.0,4.2586746,0.0,0.5515488085580442,test
mb-log-kvrh-10885,100.0,0.0012320749047320906,-0.5741270055145054,0.0431960359837571,1.5487659,0.6579419374465942,0.43745842670909596,-0.41863857731399584,-0.5170948694149475,-0.4720101590595501,1.0,1.5487659,0.0,-1.8711000199626922,test
mb-log-kvrh-01326,100.0,-0.0002232427042684084,0.04762144916376243,0.004924505176520433,2.367526,1.052146077156067,0.8618455322901868,0.050831970792445544,0.029312830702738945,0.03489012911629022,1.0,2.367526,0.0,-0.93695152685019,test
mb-log-kvrh-10696,100.0,-5.906800737645745e-05,0.3609766128419836,0.00047694034545120445,3.0029204,1.4325361251831055,1.0995852851534658,0.3594463945473184,0.35098872278753906,0.3619391172501074,1.0,3.0029204,0.0,-0.3503982336459764,test
mb-log-kvrh-02687,100.0,-5.888493565833697e-05,0.2705445305838308,0.00044028846676724687,2.6926823,1.3101050853729248,0.9905378380625739,0.27010735947068387,0.2615152621219008,0.2680490350381337,1.0,2.6926823,0.0,-0.5172831963569384,test
mb-log-kvrh-10832,100.0,-0.0006301064293699531,0.3875880808565232,0.054720843928401375,2.9823728,1.4209752082824707,1.092719228648907,0.35134340933056957,0.34949536053840385,0.3451172132505437,1.0,2.9823728,0.0,-0.3726895790536174,test
mb-log-kvrh-04145,100.0,-0.0004365048300940815,0.47555049050543785,0.029471017623863394,3.1912622,1.5503114461898804,1.1604165156531936,0.43845585022286465,0.4470336787147249,0.4526619692110379,1.0,3.1912622,0.0,-0.1841236190087521,test
mb-log-kvrh-08734,100.0,-0.00012788643662805756,0.6023770289166289,0.0021651656943172393,3.6744435,1.8182166814804077,1.3014016953484082,0.5978561808859048,0.5887003967382245,0.6081746482746968,2.0,3.6744435,0.0,0.13887435574462806,test
mb-log-kvrh-05182,100.0,-0.00024210903232432134,0.31561435929799403,0.007910268729178882,2.858683,1.3657876253128052,1.0503610327615311,0.31173128443080556,0.2965414723261982,0.3090333583142315,1.0,2.858683,0.0,-0.44654499068725306,test
mb-log-kvrh-01650,100.0,0.0008429662004428786,0.8060391195993123,0.05475998040832297,5.141547,2.523559093475342,1.6373540088914433,0.9256702477544766,0.8383988365377837,0.916178260059684,2.0,5.141547,0.0,0.6634019993290454,test
mb-log-kvrh-08864,100.0,0.00021140977510312008,0.9114713149970968,0.006259751482643239,5.0024734,2.5712432861328125,1.6099324721192962,0.9443895547411109,0.9142602914935712,0.9394429790716714,2.0,5.0024734,0.0,0.732855688629115,test
mb-log-kvrh-03512,100.0,-0.0003580871952744165,0.6189567347129359,0.019364518345396986,3.7031133,1.8039748668670654,1.3091739009772276,0.589992495194826,0.5937474496129377,0.605669499827292,2.0,3.7031133,0.0,0.1383127045318651,test
mb-log-kvrh-08757,100.0,-0.0007226848273851707,0.6259358424529667,0.08196814314069245,3.6298037,1.7557849884033203,1.2891785724345222,0.5629160494498465,0.5832718177206627,0.5760828291767156,1.0,3.6298037,0.0,0.044998091045264255,test
mb-log-kvrh-10688,100.0,-0.0006229238698215348,0.751695312003702,0.062315265114163965,4.033364,2.0350773334503174,1.3946007696907858,0.7105338247818179,0.7137039129525733,0.7178816281651161,8.0,4.033364,0.0,0.6445803151172749,test
mb-log-kvrh-04277,100.0,-0.0006970609450191998,0.8388016130077446,0.07279054347243741,4.416229,1.9788886308670044,1.4852861667787058,0.6825353946314318,0.7977205261170446,0.7890835139610402,4.0,4.416229,0.0,0.57959838071569,test
mb-log-kvrh-03025,100.0,-0.00030982543865694465,0.29451820858608624,0.015242013645272001,2.5327656,1.3228964805603027,0.9293118321939341,0.2798236436444464,0.27355200348592756,0.276892642810641,1.0,2.5327656,0.0,-0.4996751068702897,test
mb-log-kvrh-02870,100.0,-0.00014688193353445855,0.5775772708060214,0.0031948505147830764,3.6368697,1.7343556880950928,1.291123341882285,0.5506359888644814,0.563021276942088,0.5770976681887605,1.0,3.6368697,0.0,0.035696652801401656,test
mb-log-kvrh-06640,100.0,-0.0012574428260038438,1.1859512540074968,0.20568681867702743,5.65929,3.039466381072998,1.733298444417517,1.1116819707587648,1.116690330820145,1.1070814667312368,36.0,5.65929,0.0,2.7531619948889947,test
mb-log-kvrh-06602,100.0,-0.0007466814415272261,0.7322753672501453,0.08821232266327284,3.9126074,1.9075466394424438,1.3642040085245877,0.6458179396795043,0.6885297912389169,0.6794447608881519,4.0,3.9126074,0.0,0.38225603419088794,test
mb-log-kvrh-01655,100.0,0.00026789887484408344,-0.10224496210953517,0.006331386036121045,1.9623661,0.9427182674407959,0.6741509441432278,-0.05898779237210505,-0.09491519029776599,-0.08773028414782905,1.0,1.9623661,0.0,-1.15876365904027,test
